target pageflip timestamp,pageflip timestamp,render start,render end,safety margin,refresh duration,vrr,tearing,predicted render time
8038445306666,8038445390000,8038411994515,8038416536772,28643356,16668333,0,0,18297476
8038462017666,8038462095000,8038428435433,8038436051248,26225340,16668333,0,0,18223066
8038478726666,8038545637000,8038461917414,8038468559773,26323979,16668333,0,0,18109002
8038545436665,8038562346000,8038520372142,8038532518884,27375579,16668333,0,0,18104274
8038578973666,8038579052000,8038545575901,8038550581486,28201486,16668333,0,0,17895747
8038595682666,8038595761000,8038564430771,8038570093649,25698096,16668333,0,0,18069378
8038629097666,8038629178000,8038598807191,8038604365538,24184538,16668333,0,0,17893699
8038662514666,8038662589000,8038633254534,8038640080879,22093882,16668333,0,0,17738577
8038695925666,8038696010000,8038666862873,8038673909626,21403619,16668333,0,0,17674852
8038729346666,8038729424000,8038701348708,8038710065522,18614521,16668333,0,0,17628347
8038762760666,8038779547000,8038735593134,8038748128632,26956110,16668333,0,0,17711471
8038779428999,8038796253000,8038748502292,8038753212232,27926390,16668333,0,0,17711471
8038812883666,8038812960000,8038779751987,8038785173281,27124154,16668333,0,0,18619642
8038829589666,8038829673000,8038805424512,8038810723574,18234110,16668333,0,0,18493621
8038863009666,8038863085000,8038839783098,8038845113761,17789253,16668333,0,0,18293883
8038896421666,8038913210000,8038874139701,8038880943216,27027110,16668333,0,0,18099445
8038929758332,8038946628000,8038908472663,8038915149585,25230661,16668333,0,0,18099445
8038963214999,8038980042000,8038942686409,8038951878240,25510612,16668333,0,0,17969280
8038996632999,8039013458000,8038977764052,8038984374434,26262993,16668333,0,0,17877156
8039113467998,8039130413000,8039084689606,8039095553177,26040891,16668333,0,0,17875491
8039146804664,8039147124000,8039117548504,8039125118773,21628778,16668333,0,0,17875491
8039180460666,8039180538000,8039152286128,8039160843351,19318761,16668333,0,0,18616660
8039213874666,8039213955000,8039186772741,8039193491638,19973545,16668333,0,0,18597125
8039247291666,8039247368000,8039221052867,8039229934208,15784390,16668333,0,0,18447157
8039263959999,8039264077000,8039230568905,8039241285436,22884180,16668333,0,0,18447157
8039280704666,8039280782000,8039247223280,8039252479254,25975086,16668333,0,0,18458016
8039297413666,8039297491000,8039264026275,8039268213476,26459374,16668333,0,0,18532823
8039314118666,8039314199000,8039288774519,8039294257316,19373395,16668333,0,0,18407420
8039347535666,8039364325000,8039322398750,8039338021873,25293317,16668333,0,0,18139424
8039380872332,8039397738000,8039357252953,8039361289836,24345296,16668333,0,0,18139424
8039414329999,8039414448000,8039391676278,8039397893426,16280733,16668333,0,0,24190036
8039447784666,8039464570000,8039426075352,8039432887732,25400076,16668333,0,0,23684102
8039481121332,8039497991000,8039460273220,8039468455588,25803653,16668333,0,0,23684102
8039514574999,8039531401000,8039494303020,8039501973882,24566696,16668333,0,0,23411856
8039547995999,8039564818000,8039529095062,8039536491921,24666428,16668333,0,0,23333129
8039664827998,8039681777000,8039639782697,8039648951008,25269994,16668333,0,0,23089748
8039698164664,8039715190000,8039673708834,8039683146276,25594762,16668333,0,0,23089748
8039731781999,8039748610000,8039707767706,8039715748629,25298791,16668333,0,0,23106968
8039765194999,8039782024000,8039742471673,8039750806656,24339892,16668333,0,0,23113489
8039798614999,8039815442000,8039776764633,8039785324298,26190483,16668333,0,0,23005229
8039815360666,8039832146000,8039785795533,8039796519610,23929353,16668333,0,0,22922854
8039848778666,8039848856000,8039815567685,8039823716594,24580906,16668333,0,0,22858379
8039865482666,8039882268000,8039845341564,8039852371633,24302039,16668333,0,0,22910171
8039898860999,8039915685000,8039879173941,8039886398831,24986008,16668333,0,0,22860186
8039932272999,8039949104000,8039913831397,8039919388291,23965461,16668333,0,0,22686348
8039965689999,8039982518000,8039948317564,8039960920566,21011416,16668333,0,0,22532198
8040015854666,8040015935000,8039983306858,8039987515337,25109629,16668333,0,0,22545531
8040049271666,8040049348000,8040017874159,8040025710798,23156027,16668333,0,0,22187672
8040082684666,8040082766000,8040052348692,8040058703166,23672707,16668333,0,0,22091392
8040116102666,8040116184000,8040086270310,8040094295012,21100388,16668333,0,0,21897667
8040232862331,8040233135000,8040204201974,8040214188573,18698905,16668333,0,0,21824349
8040266471666,8040266553000,8040237296132,8040245597422,20074990,16668333,0,0,22103642
8040299889666,8040299970000,8040271557211,8040280307801,19418016,16668333,0,0,22017988
8040333306666,8040333382000,8040306789724,8040316534176,17051363,16668333,0,0,21966943
8040366718666,8040366802000,8040336038628,8040343650746,22868270,16668333,0,0,21992147
8040383386999,8040383508000,8040349978704,8040355190284,24277708,16668333,0,0,21992147
8040400138666,8040400214000,8040366739889,8040369916304,24514080,16668333,0,0,21855065
8040416844666,8040416927000,8040383500103,8040388008027,23128223,16668333,0,0,21708620
8040433550666,8040450340000,8040410458326,8040421673560,23366173,16668333,0,0,21497928
8040466931999,8040483759000,8040445136227,8040452940787,23541237,16668333,0,0,21337560
8040500344999,8040517173000,8040479330256,8040491131939,21615950,16668333,0,0,21508603
8040533763999,8040550588000,8040513750554,8040521023531,22073327,16668333,0,0,21402907
8040567177999,8040584003000,8040547829078,8040555170022,22643393,16668333,0,0,21606436
8040600592999,8040617417000,8040582648738,8040591647228,23004655,16668333,0,0,21452113
8040650753666,8040650837000,8040617651416,8040624999309,22938716,16668333,0,0,21287544
8040684173666,8040684249000,8040652015615,8040660600563,23153068,16668333,0,0,21146619
8040800927331,8040801209000,8040770007685,8040780182646,20529579,16668333,0,0,21096449
8040834545666,8040834622000,8040803249812,8040808806696,21975430,16668333,0,0,21351102
8040867958666,8040868035000,8040837732488,8040844020132,22037513,16668333,0,0,21066838
8040901371666,8040901455000,8040872138735,8040880405418,20419088,16668333,0,0,20846110
8040934791666,8040934869000,8040906578136,8040912539659,22063485,16668333,0,0,20768095
8040968205666,8040968283000,8040940941476,8040947755215,20567098,16668333,0,0,20537012
8041001619666,8041001699000,8040971358837,8040976659312,21950813,16668333,0,0,20374100
8041018287999,8041018407000,8040984809732,8040992480532,20799450,16668333,0,0,20374100
8041035035666,8041035120000,8041001586148,8041005273893,21785089,16668333,0,0,20116732
